,filename,width,height,class,xmin,ymin,xmax,ymax,x_min_resized,y_min_resized,x_max_resized,y_max_resized,class_num
151,222802782.jpg,1080,1080,Js,86,584,155,640,36,248,66,272,42
152,222802782.jpg,1080,1080,Jh,158,463,216,531,67,197,92,226,3
153,222802782.jpg,1080,1080,5c,276,377,317,441,117,160,135,187,35
154,222802782.jpg,1080,1080,10h,396,343,431,408,168,146,183,173,4
155,222802782.jpg,1080,1080,10s,477,345,522,414,203,146,222,176,43
156,222802782.jpg,1080,1080,7c,595,397,651,455,253,169,277,193,33
157,222802782.jpg,1080,1080,5d,660,488,723,533,281,207,307,227,22
158,222802782.jpg,1080,1080,5d,504,758,566,803,214,322,241,342,22
159,172939828.jpg,1080,1080,4h,83,723,146,752,35,307,62,320,10
160,172939828.jpg,1080,1080,Kd,88,585,156,640,37,249,66,272,14
161,172939828.jpg,1080,1080,10h,158,466,221,523,67,198,94,222,4
162,172939828.jpg,1080,1080,Jd,269,375,317,450,114,159,135,191,16
163,172939828.jpg,1080,1080,Kd,394,343,433,410,167,146,184,174,14
164,172939828.jpg,1080,1080,4h,478,355,518,413,203,151,220,175,10
165,172939828.jpg,1080,1080,5d,598,397,651,453,254,169,277,192,22
166,172939828.jpg,1080,1080,5d,545,707,598,762,232,301,254,324,22
167,877978694.jpg,1080,1080,9s,82,725,147,753,34,308,62,320,44
168,877978694.jpg,1080,1080,Jd,86,584,154,640,36,248,65,272,16
169,877978694.jpg,1080,1080,Jd,156,459,215,531,66,195,91,226,16
170,877978694.jpg,1080,1080,4h,279,380,313,444,118,161,133,189,10
171,877978694.jpg,1080,1080,7d,399,341,429,406,169,145,182,172,20
172,877978694.jpg,1080,1080,As,478,349,516,414,203,148,219,176,39
173,877978694.jpg,1080,1080,As,534,654,572,717,227,278,243,305,39
174,625160706.jpg,1080,1080,Kc,81,720,152,758,34,306,64,322,27
175,625160706.jpg,1080,1080,As,90,594,156,633,38,253,66,269,39
176,625160706.jpg,1080,1080,Qs,158,462,218,531,67,196,92,226,41
177,625160706.jpg,1080,1080,6d,277,382,316,445,117,162,134,189,21
178,625160706.jpg,1080,1080,Jc,394,339,433,409,167,144,184,174,29
179,625160706.jpg,1080,1080,10s,477,346,522,414,203,147,222,176,43
180,625160706.jpg,1080,1080,10s,531,655,575,721,226,278,244,307,43
181,903162703.jpg,1080,1080,5c,82,720,146,749,34,306,62,319,35
182,903162703.jpg,1080,1080,9c,89,590,153,634,37,251,65,270,31
183,903162703.jpg,1080,1080,5c,160,462,215,521,68,196,91,221,35
184,903162703.jpg,1080,1080,8d,277,378,314,439,117,161,133,186,19
185,903162703.jpg,1080,1080,Ad,398,341,425,405,169,145,181,172,13
186,903162703.jpg,1080,1080,5s,477,352,519,417,203,149,221,177,48
187,903162703.jpg,1080,1080,Jh,586,395,652,457,249,168,277,194,3
188,903162703.jpg,1080,1080,Js,651,482,724,536,277,205,308,228,42
189,903162703.jpg,1080,1080,Js,497,755,573,809,211,321,244,344,42
190,732140645.jpg,1080,1080,5h,83,724,146,750,35,308,62,319,9
191,732140645.jpg,1080,1080,7s,87,587,153,632,37,250,65,269,46
192,732140645.jpg,1080,1080,2c,164,469,218,525,69,199,92,223,38
193,732140645.jpg,1080,1080,7c,274,380,321,445,116,161,136,189,33
194,732140645.jpg,1080,1080,8d,400,342,428,404,170,145,182,172,19
195,732140645.jpg,1080,1080,9d,477,351,518,415,203,149,220,176,18
196,732140645.jpg,1080,1080,6c,596,398,649,453,253,169,276,192,34
197,732140645.jpg,1080,1080,7h,659,486,720,530,280,207,306,225,7
198,732140645.jpg,1080,1080,7h,501,762,564,807,213,324,240,343,7
199,479609258.jpg,1080,1080,9c,82,724,146,752,34,308,62,320,31
200,479609258.jpg,1080,1080,3s,91,591,156,635,38,251,66,270,50
201,479609258.jpg,1080,1080,Ac,162,467,214,521,69,198,91,221,26
202,479609258.jpg,1080,1080,Qc,271,377,319,450,115,160,135,191,28
203,479609258.jpg,1080,1080,Jd,395,339,433,409,168,144,184,174,16
204,479609258.jpg,1080,1080,7c,476,349,521,413,202,148,221,175,33
205,479609258.jpg,1080,1080,Qh,586,395,652,456,249,168,277,194,2
206,479609258.jpg,1080,1080,Qc,651,484,724,537,277,206,308,228,28
207,479609258.jpg,1080,1080,Qc,498,754,573,810,212,321,244,345,28
208,276632465.jpg,1080,1080,3d,86,723,149,751,36,307,63,319,24
209,276632465.jpg,1080,1080,3d,91,590,153,634,38,251,65,270,24
210,276632465.jpg,1080,1080,7s,159,462,215,523,67,196,91,222,46
211,276632465.jpg,1080,1080,10d,271,379,315,446,115,161,134,189,17
212,276632465.jpg,1080,1080,6h,401,345,429,408,170,146,182,173,8
213,276632465.jpg,1080,1080,10s,477,345,522,413,203,146,222,175,43
214,276632465.jpg,1080,1080,Qd,586,394,653,462,249,167,278,196,15
215,276632465.jpg,1080,1080,As,658,490,719,533,280,208,306,227,39
216,276632465.jpg,1080,1080,As,504,755,565,798,214,321,240,339,39
217,189536900.jpg,1080,1080,7s,83,724,149,751,35,308,63,319,46
218,189536900.jpg,1080,1080,3s,92,589,157,634,39,250,66,270,50
219,189536900.jpg,1080,1080,10h,157,467,214,523,66,198,91,222,4
220,189536900.jpg,1080,1080,Kh,270,376,316,450,115,160,134,191,1
221,189536900.jpg,1080,1080,10h,395,343,431,410,168,146,183,174,4
222,189536900.jpg,1080,1080,10d,479,348,522,414,204,148,222,176,17
223,189536900.jpg,1080,1080,6s,593,399,648,455,252,169,276,193,47
224,189536900.jpg,1080,1080,6s,544,702,599,758,231,299,255,322,47
225,233987744.jpg,1080,1080,2c,86,721,151,751,36,307,64,319,38
226,233987744.jpg,1080,1080,Ad,89,594,151,632,37,253,64,269,13
227,233987744.jpg,1080,1080,9h,164,470,214,524,69,200,91,223,5
228,233987744.jpg,1080,1080,3c,275,382,318,447,117,162,135,190,37
229,233987744.jpg,1080,1080,Kd,395,343,433,409,168,146,184,174,14
230,233987744.jpg,1080,1080,5d,480,349,523,413,204,148,222,175,22
231,233987744.jpg,1080,1080,9c,594,397,647,457,253,169,275,194,31
232,233987744.jpg,1080,1080,Kc,651,482,725,538,277,205,308,229,27
233,233987744.jpg,1080,1080,Kc,499,754,573,809,212,321,244,344,27
234,480784758.jpg,1080,1080,3d,86,722,150,751,36,307,63,319,24
235,480784758.jpg,1080,1080,Kh,85,584,151,640,36,248,64,272,1
236,480784758.jpg,1080,1080,8c,162,464,214,519,69,197,91,221,32
237,480784758.jpg,1080,1080,2s,276,380,318,445,117,161,135,189,51
238,480784758.jpg,1080,1080,9s,400,340,430,406,170,144,183,172,44
239,480784758.jpg,1080,1080,8h,478,352,517,409,203,149,220,174,6
240,480784758.jpg,1080,1080,8h,532,661,571,721,226,281,243,307,6
241,323341718.jpg,1080,1080,Ac,82,723,147,751,34,307,62,319,26
242,323341718.jpg,1080,1080,5h,87,589,150,630,37,250,63,268,9
243,323341718.jpg,1080,1080,Qs,160,463,220,530,68,197,93,225,41
244,323341718.jpg,1080,1080,7d,273,378,314,442,116,161,133,188,20
245,323341718.jpg,1080,1080,8c,399,340,429,404,169,144,182,172,32
246,323341718.jpg,1080,1080,9c,477,348,519,412,203,148,221,175,31
247,323341718.jpg,1080,1080,Ad,597,399,646,452,254,169,275,192,13
248,323341718.jpg,1080,1080,Jh,651,483,723,534,277,205,307,227,3
249,323341718.jpg,1080,1080,Jh,496,759,573,809,211,323,244,344,3
250,010544710.jpg,1080,1080,8c,81,722,145,751,34,307,61,319,32
251,010544710.jpg,1080,1080,7d,88,588,152,632,37,250,64,269,20
252,010544710.jpg,1080,1080,5c,160,462,215,520,68,196,91,221,35
253,010544710.jpg,1080,1080,9h,276,382,314,444,117,162,133,189,5
254,010544710.jpg,1080,1080,Ad,399,341,425,405,169,145,181,172,13
255,010544710.jpg,1080,1080,Jc,470,344,526,413,200,146,224,175,29
256,010544710.jpg,1080,1080,2s,594,398,648,457,253,169,276,194,51
257,010544710.jpg,1080,1080,2s,549,706,601,761,233,300,255,324,51
258,511986337.jpg,1080,1080,7c,84,720,148,751,35,306,63,319,33
259,511986337.jpg,1080,1080,2s,89,590,155,632,37,251,66,269,51
260,511986337.jpg,1080,1080,7h,162,463,213,519,69,197,90,221,7
261,511986337.jpg,1080,1080,Ah,279,383,313,444,118,163,133,189,0
262,511986337.jpg,1080,1080,Qd,395,343,433,410,168,146,184,174,15
263,511986337.jpg,1080,1080,6d,477,352,520,413,203,149,221,175,21
264,511986337.jpg,1080,1080,6d,531,657,574,720,226,279,244,306,21
265,200398735.jpg,1080,1080,4h,84,724,147,752,35,308,62,320,10
266,200398735.jpg,1080,1080,7h,90,588,152,629,38,250,64,267,7
267,200398735.jpg,1080,1080,7h,159,464,210,521,67,197,89,221,7
268,200398735.jpg,1080,1080,6d,278,382,317,443,118,162,135,188,21
269,200398735.jpg,1080,1080,7h,402,343,432,406,171,146,184,172,7
270,200398735.jpg,1080,1080,4c,475,356,518,417,202,151,220,177,36
271,200398735.jpg,1080,1080,4c,530,658,574,719,225,280,244,306,36
272,614765135.jpg,1080,1080,4s,85,722,150,750,36,307,63,319,49
273,614765135.jpg,1080,1080,9s,89,591,153,633,37,251,65,269,44
274,614765135.jpg,1080,1080,3c,161,466,220,524,68,198,93,223,37
275,614765135.jpg,1080,1080,6h,279,382,315,443,118,162,134,188,8
276,614765135.jpg,1080,1080,Ks,396,339,433,409,168,144,184,174,40
277,614765135.jpg,1080,1080,9c,476,349,519,411,202,148,221,175,31
278,614765135.jpg,1080,1080,Kh,585,392,654,453,249,166,278,192,1
279,614765135.jpg,1080,1080,Kh,539,705,607,766,229,300,258,326,1
280,651248085.jpg,1080,1080,Qc,82,720,152,754,34,306,64,321,28
281,651248085.jpg,1080,1080,7s,87,587,153,631,37,250,65,268,46
282,651248085.jpg,1080,1080,3d,161,466,214,522,68,198,91,222,24
283,651248085.jpg,1080,1080,6s,276,379,315,443,117,161,134,188,47
284,651248085.jpg,1080,1080,Jd,395,340,433,409,168,144,184,174,16
285,651248085.jpg,1080,1080,Ks,470,345,526,414,200,146,224,176,40
286,651248085.jpg,1080,1080,10d,595,395,648,454,253,168,276,193,17
287,651248085.jpg,1080,1080,10d,544,709,597,769,231,301,254,327,17
288,539946115.jpg,1080,1080,Ad,82,723,146,750,34,307,62,319,13
289,539946115.jpg,1080,1080,7c,90,588,155,634,38,250,66,270,33
290,539946115.jpg,1080,1080,6c,163,466,218,521,69,198,92,221,34
291,539946115.jpg,1080,1080,6c,276,380,319,443,117,161,135,188,34
292,539946115.jpg,1080,1080,Kh,395,340,433,409,168,144,184,174,1
293,539946115.jpg,1080,1080,10d,477,348,522,414,203,148,222,176,17
294,539946115.jpg,1080,1080,2c,592,401,645,458,252,170,274,195,38
295,539946115.jpg,1080,1080,10h,656,484,719,532,279,206,306,226,4
296,539946115.jpg,1080,1080,10h,500,761,559,806,212,324,238,343,4
297,794959181.jpg,1080,1080,8d,82,722,145,751,34,307,61,319,19
298,794959181.jpg,1080,1080,Jc,84,583,154,640,35,248,65,272,29
299,794959181.jpg,1080,1080,Qc,158,462,219,531,67,196,93,226,28
300,794959181.jpg,1080,1080,Qh,271,379,317,450,115,161,135,191,2
301,794959181.jpg,1080,1080,8h,400,343,429,406,170,146,182,172,6
302,794959181.jpg,1080,1080,8d,479,348,521,409,204,148,221,174,19
303,794959181.jpg,1080,1080,Jc,585,392,655,456,249,166,278,194,29
304,794959181.jpg,1080,1080,Jc,538,703,608,767,229,299,258,326,29
305,654647617.jpg,1080,1080,4d,85,723,150,752,36,307,63,320,23
306,654647617.jpg,1080,1080,8h,91,590,151,630,38,251,64,268,6
307,654647617.jpg,1080,1080,Ah,164,471,212,522,69,200,90,222,0
308,654647617.jpg,1080,1080,2h,276,384,314,445,117,163,133,189,12
309,654647617.jpg,1080,1080,10c,398,342,432,407,169,145,184,173,30
310,654647617.jpg,1080,1080,8s,476,352,518,415,202,149,220,176,45
311,654647617.jpg,1080,1080,7c,593,398,649,459,252,169,276,195,33
312,654647617.jpg,1080,1080,7c,543,707,599,767,231,301,255,326,33
313,677120024.jpg,1080,1080,Qc,82,720,152,755,34,306,64,321,28
314,677120024.jpg,1080,1080,2s,89,589,154,632,37,250,65,269,51
315,677120024.jpg,1080,1080,10c,157,465,217,522,66,198,92,222,30
316,677120024.jpg,1080,1080,Ah,278,383,313,445,118,163,133,189,0
317,677120024.jpg,1080,1080,8s,398,345,427,409,169,146,181,174,45
318,677120024.jpg,1080,1080,10s,476,346,521,414,202,147,221,176,43
319,677120024.jpg,1080,1080,10s,531,655,576,721,226,278,245,307,43
320,899376836.jpg,1080,1080,2c,87,721,151,751,37,307,64,319,38
321,899376836.jpg,1080,1080,8s,92,593,155,635,39,252,66,270,45
322,899376836.jpg,1080,1080,Qs,158,463,219,531,67,197,93,226,41
323,899376836.jpg,1080,1080,As,278,380,318,445,118,161,135,189,39
324,899376836.jpg,1080,1080,Ac,397,341,426,405,169,145,181,172,26
325,899376836.jpg,1080,1080,4h,479,354,519,412,204,150,221,175,10
326,899376836.jpg,1080,1080,Kd,585,394,652,456,249,167,277,194,14
327,899376836.jpg,1080,1080,Kd,536,706,608,769,228,300,258,327,14
328,811329642.jpg,1080,1080,6d,85,723,150,752,36,307,63,320,21
329,811329642.jpg,1080,1080,8d,89,588,149,630,37,250,63,268,19
330,811329642.jpg,1080,1080,6d,165,468,214,522,70,199,91,222,21
331,811329642.jpg,1080,1080,7h,274,380,313,444,116,161,133,189,7
332,811329642.jpg,1080,1080,Kc,395,340,433,411,168,144,184,175,27
333,811329642.jpg,1080,1080,9d,476,351,518,415,202,149,220,176,18
334,811329642.jpg,1080,1080,9d,529,659,570,719,225,280,242,306,18
335,991672584.jpg,1080,1080,6c,84,720,147,751,35,306,62,319,34
336,991672584.jpg,1080,1080,4d,93,590,153,634,39,251,65,270,23
337,991672584.jpg,1080,1080,10c,156,464,214,521,66,197,91,221,30
338,991672584.jpg,1080,1080,Ks,271,376,318,450,115,160,135,191,40
339,991672584.jpg,1080,1080,Js,394,342,433,409,167,145,184,174,42
340,991672584.jpg,1080,1080,8c,476,349,519,411,202,148,221,175,32
341,991672584.jpg,1080,1080,Jc,585,392,655,455,249,166,278,193,29
342,991672584.jpg,1080,1080,Jc,538,702,608,767,229,299,258,326,29
343,369728288.jpg,1080,1080,9h,85,725,147,752,36,308,62,320,5
344,369728288.jpg,1080,1080,9s,88,590,153,632,37,251,65,269,44
345,369728288.jpg,1080,1080,7d,159,463,212,520,67,197,90,221,20
346,369728288.jpg,1080,1080,5s,275,377,316,442,117,160,134,188,48
347,369728288.jpg,1080,1080,3c,398,345,429,411,169,146,182,175,37
348,369728288.jpg,1080,1080,Qd,470,347,525,415,200,147,223,176,15
349,369728288.jpg,1080,1080,10s,595,392,650,454,253,166,276,193,43
350,369728288.jpg,1080,1080,10s,545,705,599,766,232,300,255,326,43
351,112558005.jpg,1080,1080,Ah,85,725,148,750,36,308,63,319,0
352,112558005.jpg,1080,1080,7s,88,588,152,633,37,250,64,269,46
353,112558005.jpg,1080,1080,10c,158,463,215,520,67,197,91,221,30
354,112558005.jpg,1080,1080,Qc,271,377,319,450,115,160,135,191,28
355,112558005.jpg,1080,1080,5s,401,342,429,407,170,145,182,173,48
356,112558005.jpg,1080,1080,As,478,350,515,413,203,149,219,175,39
357,112558005.jpg,1080,1080,Kh,585,392,654,453,249,166,278,192,1
358,112558005.jpg,1080,1080,Kh,539,706,608,766,229,300,258,326,1
359,003285940.jpg,1080,1080,8d,81,722,145,749,34,307,61,319,19
360,003285940.jpg,1080,1080,5s,88,588,153,631,37,250,65,268,48
361,003285940.jpg,1080,1080,10h,158,466,213,522,67,198,90,222,4
362,003285940.jpg,1080,1080,Qc,272,377,319,450,115,160,135,191,28
363,003285940.jpg,1080,1080,7h,402,343,432,406,171,146,184,172,7
364,003285940.jpg,1080,1080,10s,477,344,521,411,203,146,221,175,43
365,003285940.jpg,1080,1080,10h,595,395,648,454,253,168,276,193,4
366,003285940.jpg,1080,1080,3c,656,487,719,536,279,207,306,228,37
367,003285940.jpg,1080,1080,3c,501,758,563,805,213,322,239,342,37
368,249569178.jpg,1080,1080,2s,82,723,148,751,34,307,63,319,51
369,249569178.jpg,1080,1080,9c,90,590,153,634,38,251,65,270,31
370,249569178.jpg,1080,1080,8d,161,464,212,519,68,197,90,221,19
371,249569178.jpg,1080,1080,8d,276,379,316,441,117,161,134,187,19
